ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
AAPL,2025-08-11,3,131,AAPL250815P00245000,put,2025-08-15 20:00:00,4,227.18,245.0,1.0784400035214368,7.844000352143671,ITM,17.55,18.0,17.775,16.75,0.4499999999999993,0.0253164556962024,False,7,7,29,123,17.82,0.045,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00250000,put,2025-08-15 20:00:00,4,227.18,250.0,1.1004489831851394,10.044898318513953,ITM,22.1,23.25,22.675,22.79,1.1499999999999986,0.0507166482910693,False,104,79,33,107,22.82,0.145,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00255000,put,2025-08-15 20:00:00,4,227.18,255.0,1.1224579628488425,12.245796284884229,ITM,27.35,28.35,27.85,29.0,1.0,0.0359066427289048,False,56,92,11,49,27.82,0.03,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00180000,call,2025-09-12 20:00:00,32,227.18,180.0,0.7923232678933004,-20.76767321066996,ITM,47.9,49.1,48.5,40.48,1.2000000000000028,0.0247422680412371,False,11,110,0,65,47.18,1.32,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00185000,call,2025-09-12 20:00:00,32,227.18,185.0,0.8143322475570033,-18.56677524429968,ITM,42.95,43.7,43.325,41.75,0.75,0.0173110213502596,False,7,34,1,18,42.18,1.145,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00190000,call,2025-09-12 20:00:00,32,227.18,190.0,0.836341227220706,-16.365877277929396,ITM,38.1,39.7,38.9,41.47,1.6000000000000014,0.0411311053984576,False,7,107,0,20,37.18,1.72,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00195000,call,2025-09-12 20:00:00,32,227.18,195.0,0.8583502068844088,-14.16497931155912,ITM,32.55,34.8,33.675,34.0,2.25,0.066815144766147,False,101,152,2,193,32.18,1.495,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00200000,call,2025-09-12 20:00:00,32,227.18,200.0,0.8803591865481116,-11.96408134518884,ITM,27.8,29.1,28.45,29.05,1.3000000000000007,0.0456942003514938,False,176,7,9,301,27.18,1.27,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00205000,call,2025-09-12 20:00:00,32,227.18,205.0,0.9023681662118144,-9.76318337881856,ITM,23.45,24.75,24.1,24.52,1.3000000000000007,0.0539419087136929,False,89,60,9,608,22.18,1.92,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00210000,call,2025-09-12 20:00:00,32,227.18,210.0,0.9243771458755172,-7.562285412448282,ITM,18.65,19.85,19.25,19.4,1.2000000000000028,0.0623376623376624,False,165,2,330,835,17.18,2.07,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00215000,call,2025-09-12 20:00:00,32,227.18,215.0,0.94638612553922,-5.361387446078003,ITM,14.85,16.45,15.65,15.6,1.5999999999999996,0.1022364217252396,False,35,67,5871,6243,12.18,3.47,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00220000,call,2025-09-12 20:00:00,32,227.18,220.0,0.9683951052029228,-3.160489479707724,ITM,11.65,12.8,12.225,11.8,1.1500000000000004,0.0940695296523517,False,5,92,430,1475,7.18,5.045,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00225000,call,2025-09-12 20:00:00,32,227.18,225.0,0.9904040848666256,-0.9595915133374446,ATM,8.35,8.7,8.525,8.31,0.3499999999999996,0.0410557184750732,False,11,12,606,1628,2.18,6.345,True,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00230000,call,2025-09-12 20:00:00,32,227.18,230.0,1.0124130645303284,1.2413064530328344,ATM,5.7,6.5,6.1,5.8,0.7999999999999998,0.1311475409836065,False,1,57,10506,8983,0.0,6.1,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00235000,call,2025-09-12 20:00:00,32,227.18,235.0,1.034422044194031,3.442204419403113,OTM,3.65,4.1,3.875,3.6,0.4499999999999997,0.1161290322580644,False,1,1,1849,6856,0.0,3.875,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00240000,call,2025-09-12 20:00:00,32,227.18,240.0,1.056431023857734,5.643102385773393,OTM,2.06,2.35,2.205,2.26,0.29,0.1315192743764172,False,2,10,2059,4370,0.0,2.205,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00245000,call,2025-09-12 20:00:00,32,227.18,245.0,1.0784400035214368,7.844000352143671,OTM,1.25,1.56,1.405,1.31,0.31,0.2206405693950178,False,2,11,625,1566,0.0,1.405,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00250000,call,2025-09-12 20:00:00,32,227.18,250.0,1.1004489831851394,10.044898318513953,OTM,0.77,0.91,0.84,0.79,0.14,0.1666666666666666,False,1,5,9523,9240,0.0,0.84,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
